hgnc_symbol	Six1KD5	Scramble	Scramble.1	Six1KD6	Scramble.2	Six1KD5.1	Scramble.3	Six1KD5.2	Six1KD6.1
A1BG-AS1	-1.166967994	-0.973155302	0.783001301	1.674744939	0.792654094	0.345582139	0.245790083	-0.757691884	-0.943957377
A2M	0.845839351	-0.612758934	-1.206560987	0.330675724	-0.41154336	0.800938291	-1.640119611	1.105442068	0.788087458
A4GALT	-0.158988098	1.827770182	1.090817577	-0.771957316	0.352743157	-0.813027583	0.39753173	-1.123852252	-0.801037399
AAAS	-0.197898168	0.879428279	0.197767272	-0.576432659	0.491283288	-0.608440359	1.438885016	0.373970079	-1.998562749
AACS	-0.221235276	-0.718855969	-0.33868689	2.344214985	-0.726364123	-0.107210119	-0.69512656	0.820971358	-0.357707405
AACSP1	-0.270174637	-0.147258089	-1.708953839	-0.21341821	0.490166979	-0.302306981	1.188337946	1.650388211	-0.68678138
AADAT	0.027897681	-1.169675777	0.558014297	-0.360425354	2.045502278	-0.038294747	0.023058689	0.297774896	-1.383851963
AAGAB	0.361942986	-0.562232208	-0.615822769	0.324593166	-0.16855606	-1.816087702	1.874282971	0.455280239	0.146599377
AAK1	-1.190885997	-1.6135565	1.477997548	0.11880278	0.487697105	1.013123973	0.194226434	-0.667294792	0.17988945
AAMDC	1.243057715	0.703034482	-0.469237787	0.446571916	-1.309948358	-0.20999511	-1.447984499	-0.232310597	1.276812238
AAMP	-0.12399161	-2.231180732	0.699990344	0.911142162	-0.068934467	-0.185903105	-0.575489728	0.982728715	0.591638421
AAR2	-0.294467736	-1.982371357	1.448226378	0.660783088	-0.669271799	0.155303767	0.187576847	0.887478442	-0.393257629
AARS	1.231535695	1.577865269	-0.552625568	-0.848633632	-0.753515064	0.217022025	-1.333746501	-0.252457341	0.714555117
AARS2	0.138145129	-1.438004771	-0.84718024	-0.867063213	0.890440688	0.163141802	1.085905195	1.452782769	-0.578167358
AARSD1	-0.674628143	-0.43169845	-1.612648078	0.954934246	0.254090875	0.17614882	-0.015932787	1.866345957	-0.51661244
AASDH	-0.272396997	2.095542252	0.66941948	-0.853204249	-0.309269706	-0.487025137	0.726969321	-1.148742717	-0.421292245
AASDHPPT	0.312543296	0.17157747	0.099399988	0.949832163	1.337031806	-1.837721952	0.539422389	-1.152947168	-0.419137992
AASS	1.193656162	1.022134343	-0.220327654	-1.055026008	-1.287623199	0.200609661	0.365827322	1.011249213	-1.23049984
AATF	-0.460643499	-0.602007439	-1.051163722	-0.124730274	0.50896178	-1.131697358	1.818967003	1.196901201	-0.154587692
AATK	-0.686958501	-0.680509072	-1.705286996	0.889530136	-0.52590711	0.534726733	0.462705167	0.106128891	1.605570752
ABALON	0.084722238	-1.709592701	1.760629142	0.14062693	0.41003335	0.698772911	-1.036464309	-0.456365006	0.107637444
ABAT	0.588902665	2.153635368	0.643572496	-1.048547151	-0.715590187	0.055328757	-0.439298096	-0.735130077	-0.502873775
ABCA1	1.147850132	1.824117487	-0.66868218	-0.874418234	-1.041720489	-0.452821386	-0.271124581	0.769581033	-0.432781782
ABCA10	0.090224407	-2.054562132	1.719359805	-0.021886748	0.051064286	0.466598859	0.022793098	0.39031382	-0.663905396
ABCA13	-0.93537859	-1.662665803	0.324855867	0.856931765	-1.128099681	-0.035237451	0.765753052	0.818862666	0.994978175
ABCA2	0.129149044	2.044971936	-0.572272537	-0.243483023	-1.099682684	0.542404641	-1.276014901	-0.054198339	0.529125863
ABCA3	1.119967913	-0.083945351	-0.167215281	-0.950867795	-1.749051206	1.061490587	-0.572099256	1.114238019	0.227482371
ABCA4	0.533579008	-1.337048165	-1.02261233	-0.192038579	-0.455130796	0.688416511	-0.773687695	1.661562826	0.896959221
ABCA7	-0.15025696	0.627564406	0.937464768	0.384707651	-1.334677505	0.5924653	-0.927911143	-1.397903817	1.2685473
ABCB10	0.420033706	0.299977109	0.313631852	-0.566158668	1.174320278	0.623838993	-1.598816182	0.843008845	-1.509835932
ABCB6	-0.41758752	-0.970619552	-0.52937748	-0.886673439	-0.612276313	2.217431142	0.267008024	0.564817339	0.3672778
ABCB7	-0.47251571	2.233274036	0.089407994	0.102755096	-0.017642867	-0.644314032	0.659227851	-1.07257758	-0.877614788
ABCB8	0.858996667	-1.463105734	-1.84716501	0.178847894	-0.185302058	0.538631733	0.902636261	0.404229493	0.612230754
ABCB9	0.976876553	1.645485726	-0.017431957	-0.401000054	-0.479066992	1.034876325	-0.790123395	-0.589510219	-1.380105988
ABCC1	-0.698379816	1.024676392	-1.301705454	0.031288857	0.892108179	-0.261925816	-1.372218953	1.38983181	0.296324801
ABCC10	0.52714887	-1.434759744	-0.548980128	-0.234453168	-0.504198145	0.561915245	-0.674242646	0.25372252	2.053847195
ABCC2	-0.723048775	-1.661282349	1.837729892	-0.035746331	-0.093573663	0.717875704	0.460440159	0.236914138	-0.739308776
ABCC4	-1.356246554	-1.671949956	0.889627305	0.966982158	1.1408662	0.276624125	-0.481345236	0.142022275	0.093419682
ABCC5	-0.076556486	-0.436617519	0.836516001	1.542553629	-0.435836459	0.436228497	-1.968420789	-0.430664076	0.532797202
ABCD1	0.979508377	0.349114927	-1.307449388	-0.771025592	-0.005127438	0.468655822	-1.47327093	0.29820446	1.461389763
ABCD3	-0.228214727	-0.571049108	0.983418428	0.51930743	1.910845486	-1.211310602	-0.016939127	-0.302158017	-1.083899763
ABCD4	0.368510402	1.523970444	-1.13549778	-0.554105351	-0.129306573	-0.94066296	1.551628221	-0.790550505	0.106014102
ABCE1	0.424134031	-1.189108501	-0.862988441	-0.029523863	0.886725013	-0.642725437	1.272099575	1.260841029	-1.119453404
ABCF1	-1.035683911	-0.965984146	1.464269595	0.67104442	0.686481471	-0.926230194	0.890513078	-1.088633514	0.304223201
ABCF2	-0.185410533	-2.390198338	-0.2485679	0.511086481	0.298720468	0.092776515	0.301738848	1.27292155	0.346932909
ABCF3	-0.439122886	-2.353955442	1.048680652	0.530086874	0.660388076	0.353852341	0.516074525	-0.22027385	-0.09573029
ABHD10	0.80076973	1.243568149	-0.692779841	1.027431601	0.046357412	-0.264553773	-0.373541643	-2.004468116	0.217216481
ABHD11	0.363116904	-0.306680242	-1.977266017	-0.995009096	0.351231092	-0.266372348	0.86971071	0.995916424	0.965352573
ABHD12	0.988144598	-0.488780641	-1.669921122	-0.830147404	-0.189223599	-0.24306387	0.119843431	1.667605696	0.645542911
