ensembl_gene_id	hgnc_symbol	logFC	logCPM	F	PValue	FDR
ENSG00000002586	CD99	2.368362518	7.364207779	139.5515028	8.33E-07	6.57E-05
ENSG00000003436	TFPI	5.849762162	5.801887582	271.0488491	4.67E-08	2.18E-05
ENSG00000005020	SKAP2	3.111988139	4.511453353	143.8664454	7.31E-07	6.53E-05
ENSG00000005243	COPZ2	3.902028	3.531381044	98.31482217	3.67E-06	0.000121185
ENSG00000005379	TSPOAP1	-3.19306661	3.878130475	137.1665181	8.97E-07	6.70E-05
ENSG00000006283	CACNA1G	-6.396165694	3.57677891	126.7685631	1.25E-06	7.63E-05
ENSG00000006534	ALDH3B1	5.27948917	1.360729013	103.1129422	3.00E-06	0.000110737
ENSG00000010292	NCAPD2	-2.218480177	6.72443623	117.9374051	1.70E-06	8.63E-05
ENSG00000010818	HIVEP2	3.09152593	5.855885625	118.2132344	1.69E-06	8.63E-05
ENSG00000012048	BRCA1	-2.475736191	4.901184429	200.7389362	1.73E-07	3.97E-05
ENSG00000013016	EHD3	2.794102091	4.310469692	99.36297086	3.51E-06	0.000119677
ENSG00000013288	MAN2B2	1.959075949	4.832346626	103.2869897	2.98E-06	0.000110253
ENSG00000013293	SLC7A14	8.722493319	4.97060204	191.4912128	2.13E-07	4.04E-05
ENSG00000013297	CLDN11	8.340763646	5.741674383	142.3041504	7.66E-07	6.53E-05
ENSG00000013364	MVP	3.961378798	6.798916393	158.1673956	4.87E-07	5.30E-05
ENSG00000013561	RNF14	1.998974289	5.719784154	125.0520977	1.33E-06	7.86E-05
ENSG00000013573	DDX11	-1.617230991	5.247263185	103.6241479	2.94E-06	0.000109049
ENSG00000013588	GPRC5A	5.600827739	3.666486277	142.0522176	7.72E-07	6.53E-05
ENSG00000016402	IL20RA	4.977984482	2.698042254	100.1424084	3.39E-06	0.000118287
ENSG00000021645	NRXN3	-3.716987964	3.645379329	115.8112025	1.84E-06	8.65E-05
ENSG00000026103	FAS	3.909434987	3.774167155	127.5297188	1.22E-06	7.63E-05
ENSG00000029993	HMGB3	-2.39994274	6.215356527	105.1288087	2.77E-06	0.000105963
ENSG00000030066	NUP160	-1.526778056	6.150592446	100.8367659	3.30E-06	0.000117201
ENSG00000034713	GABARAPL2	1.654542493	5.742805478	91.65898043	4.91E-06	0.000139914
ENSG00000035862	TIMP2	1.824593909	7.390616614	107.723932	2.50E-06	0.000100898
ENSG00000042980	ADAM28	-6.250185868	3.627990737	178.8713401	2.86E-07	4.23E-05
ENSG00000043039	BARX2	-7.469575529	3.109606542	269.5780169	4.78E-08	2.18E-05
ENSG00000046889	PREX2	-9.263106867	4.309441591	366.9930062	1.23E-08	1.29E-05
ENSG00000054392	HHAT	1.860170302	4.550312606	116.5325912	1.79E-06	8.65E-05
ENSG00000054654	SYNE2	-3.345918311	7.906720562	137.4178171	8.90E-07	6.70E-05
ENSG00000056998	GYG2	2.173606642	5.913463374	277.8843108	4.18E-08	2.05E-05
ENSG00000057019	DCBLD2	3.127417832	8.660798206	182.9056669	2.60E-07	4.23E-05
ENSG00000058085	LAMC2	4.774699826	5.520491057	198.1146595	1.84E-07	3.97E-05
ENSG00000062822	POLD1	-2.572237719	4.984865897	137.6752054	8.83E-07	6.70E-05
ENSG00000063438	AHRR	5.192367851	4.243716875	99.60697231	3.47E-06	0.000119406
ENSG00000064218	DMRT3	-6.08164438	0.935531281	144.7492697	7.12E-07	6.53E-05
ENSG00000064300	NGFR	-2.791023396	6.869255308	103.9015326	2.91E-06	0.000108125
ENSG00000064601	CTSA	2.823716547	5.999113162	110.0973446	2.28E-06	9.77E-05
ENSG00000064655	EYA2	-5.510655838	4.069712033	116.2881277	1.81E-06	8.65E-05
ENSG00000065802	ASB1	1.81371838	6.525847218	129.2409702	1.16E-06	7.48E-05
ENSG00000065833	ME1	3.679465099	4.349993347	108.5827199	2.42E-06	9.96E-05
ENSG00000066382	MPPED2	-9.886083426	5.502171786	345.1619607	1.61E-08	1.32E-05
ENSG00000067066	SP100	8.498582072	4.621155625	191.0861537	2.15E-07	4.04E-05
ENSG00000067182	TNFRSF1A	1.780744722	5.317868923	173.3381296	3.28E-07	4.41E-05
ENSG00000070540	WIPI1	2.694741654	5.581308774	226.4083421	1.03E-07	3.03E-05
ENSG00000071246	VASH1	2.054232351	6.445226931	139.9114558	8.24E-07	6.57E-05
ENSG00000071967	CYBRD1	2.752638398	7.013547948	194.0287251	2.01E-07	4.04E-05
ENSG00000072501	SMC1A	-1.437446588	6.820501466	112.5147926	2.08E-06	9.21E-05
ENSG00000072786	STK10	2.682036397	5.251271833	158.2428621	4.86E-07	5.30E-05
ENSG00000073111	MCM2	-2.723457071	6.168298802	156.9310171	5.03E-07	5.40E-05
ENSG00000073910	FRY	3.13424386	5.858521822	110.4165377	2.25E-06	9.75E-05
ENSG00000074410	CA12	6.465522967	4.128216786	124.3945314	1.36E-06	7.87E-05
ENSG00000074527	NTN4	4.256469494	4.680883701	141.1029735	7.95E-07	6.53E-05
ENSG00000074590	NUAK1	3.432928884	7.034737469	128.3712372	1.19E-06	7.59E-05
ENSG00000075043	KCNQ2	-6.757339903	1.823042309	184.7718463	2.49E-07	4.23E-05
ENSG00000075643	MOCOS	3.667758632	2.034069943	97.23335486	3.84E-06	0.000123946
ENSG00000075884	ARHGAP15	-9.476972088	3.480340027	170.8059931	3.49E-07	4.56E-05
ENSG00000076043	REXO2	2.047853676	5.172591816	93.85350433	4.45E-06	0.000134462
ENSG00000077092	RARB	4.466429262	3.578567567	133.2882502	1.01E-06	7.11E-05
ENSG00000078053	AMPH	-3.765125634	2.401151803	109.6844368	2.32E-06	9.86E-05
ENSG00000078098	FAP	5.834023799	5.905752876	98.20258284	3.68E-06	0.000121472
ENSG00000078177	N4BP2	-2.334483617	6.650895225	145.3280318	7.00E-07	6.53E-05
ENSG00000078549	ADCYAP1R1	-9.338469826	5.128192281	284.6932537	3.76E-08	1.98E-05
ENSG00000078687	TNRC6C	-2.192470348	4.384876183	94.02520687	4.42E-06	0.000133736
ENSG00000081138	CDH7	-7.401742039	4.678632822	339.7101061	1.72E-08	1.32E-05
ENSG00000081277	PKP1	-6.994084103	1.81949005	96.61801336	3.94E-06	0.000124909
ENSG00000082146	STRADB	1.993126466	5.880577743	116.9172841	1.77E-06	8.65E-05
ENSG00000083067	TRPM3	-6.875548037	2.363037214	175.20184	3.13E-07	4.25E-05
ENSG00000083799	CYLD	2.277271697	6.513514439	94.21522062	4.38E-06	0.000133517
ENSG00000084764	MAPRE3	5.449411593	5.637876741	137.4546954	8.89E-07	6.70E-05
ENSG00000085063	CD59	2.866640753	7.814570741	104.4254453	2.85E-06	0.000107026
